X,Y,Cu_ppm,Fe2O3_%,Au_ppb,Predicted_Cu_ppm,Predicted_Fe2O3_%,Predicted_Au_ppb
77.194444,15.599099,25.5,4.81,1.5,27.36599999999999,5.344100000000005,1.5
77.212963,15.599099,27.2,4.91,1.5,24.811999999999983,4.736300000000007,1.5
77.231481,15.599099,21.8,4.33,1.5,23.13599999999998,4.551499999999997,1.5
77.25,15.599099,25.5,4.88,1.5,24.122999999999998,4.1381000000000006,1.83
77.009259,15.617117,23.7,4.98,1.5,22.927,4.877400000000005,1.5
77.027778,15.617117,25.3,4.73,1.5,22.660999999999987,4.368200000000005,1.5
77.046296,15.617117,29.0,5.96,1.5,27.241999999999997,5.650999999999995,1.5
77.064815,15.617117,27.4,5.25,1.5,27.22700000000001,5.388,1.5
77.083333,15.617117,30.4,6.08,1.5,25.982,5.4129,1.5
77.101852,15.617117,22.2,5.08,1.5,24.067000000000007,5.253299999999999,1.5
77.12037,15.617117,28.1,5.29,1.5,22.679000000000006,4.312600000000001,1.5
77.138889,15.617117,23.4,4.63,1.5,23.68100000000002,4.686299999999999,1.5
77.157407,15.617117,26.3,5.31,1.5,23.990000000000006,4.657200000000003,1.5
77.175926,15.617117,21.7,4.19,1.5,21.776000000000014,4.232500000000001,1.5
77.194444,15.617117,30.5,5.13,1.5,26.11,5.056899999999996,1.5
77.212963,15.617117,24.3,4.84,1.5,24.694000000000003,4.859099999999995,1.5
77.231481,15.617117,27.1,5.16,1.5,26.02299999999996,5.003300000000006,1.5
77.25,15.617117,31.9,4.97,1.5,26.70899999999998,4.348000000000004,1.61
77.009259,15.635135,17.6,4.95,1.5,20.104,4.946399999999998,1.5
77.027778,15.635135,20.3,4.58,1.5,21.042999999999985,4.499800000000003,1.5
77.046296,15.635135,16.5,3.78,1.5,24.840999999999998,5.452799999999994,1.5
77.064815,15.635135,25.2,5.34,1.5,25.316000000000003,5.3095999999999925,1.5
77.083333,15.635135,23.9,5.15,1.5,24.16900000000003,5.224999999999993,1.5
77.101852,15.635135,21.6,4.84,1.5,23.84200000000002,5.206699999999996,1.5
77.12037,15.635135,22.9,4.49,1.5,23.18000000000002,4.509500000000003,1.5
77.138889,15.635135,24.6,5.01,1.5,24.154999999999987,4.850399999999998,1.5
77.157407,15.635135,23.3,4.6,1.5,23.61,4.6397000000000075,1.5
77.175926,15.635135,20.5,4.22,1.5,21.61500000000001,4.304500000000005,1.5
77.194444,15.635135,27.3,4.95,1.5,26.588000000000008,5.016199999999995,1.5
77.212963,15.635135,24.5,4.71,1.5,25.351999999999993,4.9910000000000005,1.5
77.231481,15.635135,27.7,5.54,1.5,25.855999999999995,5.2030000000000065,1.5
77.25,15.635135,28.7,4.59,1.5,23.600000000000005,4.133500000000004,1.555
77.009259,15.653153,28.5,5.25,1.5,26.044,5.124200000000001,1.5
77.027778,15.653153,28.1,5.35,1.5,25.410000000000014,5.222700000000002,1.5
77.046296,15.653153,21.8,4.9,1.5,23.297000000000008,5.0511999999999935,1.5
77.064815,15.653153,29.2,5.5,1.5,23.956000000000028,5.107999999999997,1.5
77.083333,15.653153,31.6,5.67,1.5,23.363000000000003,4.903999999999998,1.5
77.101852,15.653153,27.2,5.51,1.5,27.152999999999977,5.507600000000004,1.5
77.12037,15.653153,27.1,5.48,1.5,27.134999999999962,5.5913000000000075,1.5
77.138889,15.653153,27.5,5.52,1.5,29.698999999999966,5.6991000000000085,1.5
77.157407,15.653153,31.1,6.47,1.5,29.15599999999998,5.94130000000001,1.5
77.175926,15.653153,26.4,5.3,1.5,26.669000000000004,5.365200000000004,1.5
77.194444,15.653153,25.6,4.94,1.5,23.924999999999976,4.8021,1.5
77.212963,15.653153,20.1,4.42,1.5,20.01399999999998,4.359600000000001,1.5
77.231481,15.653153,23.0,4.44,1.5,19.186,4.253899999999999,1.5
77.25,15.653153,8.0,2.79,1.5,11.334000000000001,3.0959,1.555
77.009259,15.671171,24.0,4.56,1.5,25.246999999999993,4.8967,1.5
77.027778,15.671171,22.5,4.36,1.5,25.633999999999997,5.324699999999999,1.5
77.009259,15.509009,13.4,2.62,1.5,16.219000000000023,3.0518304000000027,1.5
77.027778,15.509009,18.6,3.0,1.5,17.62799999999999,3.1348000000000003,1.5
77.046296,15.509009,20.4,3.96,1.5,16.55199999999999,3.176500000000002,1.5
77.064815,15.509009,9.5,3.11,1.5,13.039000000000003,3.5382271000000056,1.5
77.083333,15.509009,17.2,3.42,1.5,19.569000000000024,3.8351271,1.5
77.101852,15.509009,27.0,5.13,1.5,24.616,4.726799999999998,1.5
77.12037,15.509009,23.7,4.73,1.5,23.046,4.656900000000004,1.5
77.138889,15.509009,16.8,3.43,1.5,19.29899999999998,3.863800000000004,1.515
77.157407,15.509009,27.9,5.41,1.5,27.346000000000046,5.152200000000006,1.5
77.175926,15.509009,29.0,5.51,1.5,27.558000000000014,5.1841,1.5
77.194444,15.509009,22.0,4.51,1.5,24.85100000000001,4.007603499999999,1.5
77.212963,15.509009,21.0,4.47,1.5,20.467000000000006,3.7617755999999996,1.5
77.231481,15.509009,10.7,2.61,1.5,14.485000000000014,2.998000000000005,1.5
77.25,15.509009,26.3,4.21,1.5,24.226,4.120899999999997,1.5
77.009259,15.527027,29.2,4.79,1.5,27.785999999999987,4.579715200000004,1.5
77.027778,15.527027,28.4,4.98,1.5,25.917000000000012,4.385100000000003,1.5
77.046296,15.527027,22.8,4.38,1.5,22.703999999999994,4.2426999999999975,1.5
77.064815,15.527027,28.2,5.39,1.5,25.602999999999998,5.090599999999993,1.5
77.083333,15.527027,23.5,4.89,1.5,22.988000000000007,4.755999999999992,1.5
77.101852,15.527027,19.2,4.02,1.5,20.48400000000002,4.215599999999996,1.5
77.12037,15.527027,22.2,4.56,1.5,22.587000000000007,4.639800000000001,1.5
77.138889,15.527027,28.6,5.27,1.5,25.14599999999998,4.7471000000000005,1.515
77.157407,15.527027,28.8,5.15,1.5,28.10200000000003,5.137499999999994,1.5
77.175926,15.527027,28.4,5.24,1.5,27.617000000000026,5.153500000000001,1.5
77.194444,15.527027,30.8,5.28,1.5,28.971000000000032,4.990099999999993,1.5
77.212963,15.527027,19.8,4.01,1.5,22.516999999999985,4.330499999999995,1.5
77.231481,15.527027,19.8,4.0,1.5,19.716999999999974,4.0104999999999995,1.5
77.25,15.527027,19.3,4.12,1.5,21.728999999999992,4.160100000000001,1.555
77.009259,15.545045,5.4,2.01,1.5,20.344,3.9963152000000006,1.5
77.027778,15.545045,7.1,2.02,1.5,10.485000000000012,2.479500000000003,1.5
77.046296,15.545045,3.6,2.09,1.5,10.05000000000001,2.7579,1.5
77.064815,15.545045,28.2,5.48,1.5,24.254,4.720000000000002,1.5
77.083333,15.545045,29.3,5.53,4.0,21.816999999999997,4.508500000000003,1.5
77.101852,15.545045,17.8,3.6,1.5,19.695999999999984,3.8762000000000056,1.5
77.12037,15.545045,27.9,5.3,1.5,24.70900000000003,4.794500000000006,1.5
77.138889,15.545045,17.0,3.22,1.5,20.661000000000005,3.8816000000000055,1.5
77.157407,15.545045,24.5,4.67,1.5,24.27499999999999,4.662800000000003,1.5
77.175926,15.545045,20.6,4.42,1.5,22.566999999999975,4.567900000000004,1.5
77.194444,15.545045,32.4,5.49,1.5,30.67600000000004,5.327800000000005,1.555
77.212963,15.545045,32.1,5.55,1.5,28.890999999999977,5.133500000000003,1.665
77.231481,15.545045,32.2,5.73,4.0,26.934000000000022,4.779199999999998,3.645
77.25,15.545045,31.9,5.63,7.0,29.069000000000027,4.887399999999998,4.745
77.009259,15.563063,29.4,5.95,1.5,25.53300000000002,5.359399999999997,1.5
77.027778,15.563063,5.7,1.93,1.5,12.203000000000015,2.962200000000002,1.5
77.046296,15.563063,6.0,2.04,1.5,16.547000000000004,3.6319999999999997,1.5
77.064815,15.563063,30.1,5.42,1.5,26.140000000000008,5.0291000000000015,1.5
77.083333,15.563063,27.4,5.5,1.5,26.782000000000036,5.290199999999999,1.5
77.101852,15.563063,25.1,5.21,1.5,25.272000000000013,4.720400000000003,1.5
77.12037,15.563063,27.6,4.89,1.5,24.457000000000008,4.864100000000004,1.5
77.138889,15.563063,26.0,4.71,1.5,25.514,4.675899999999996,1.5
77.157407,15.563063,26.4,5.44,1.5,26.343000000000032,5.242900000000003,1.5
77.175926,15.563063,26.6,4.8,1.5,25.918999999999972,4.9317000000000055,1.5
77.194444,15.563063,22.0,4.25,1.5,25.46600000000001,4.670000000000003,1.5
